group,r_nm,fit_density_mg_ml
$\text{IDP}_{50}$,20.89178356713427,0.07903028903450604
$\text{IDP}_{50}$,20.94188376753507,0.07860847979208074
$\text{IDP}_{50}$,20.991983967935873,0.07820417810592062
$\text{IDP}_{50}$,21.042084168336675,0.07781665733506316
$\text{IDP}_{50}$,21.092184368737474,0.07744522099551432
$\text{IDP}_{50}$,21.142284569138276,0.07708920150844278
$\text{IDP}_{50}$,21.19238476953908,0.07674795900101117
$\text{IDP}_{50}$,21.24248496993988,0.07642088015654735
$\text{IDP}_{50}$,21.292585170340683,0.07610737711246429
$\text{IDP}_{50}$,21.342685370741485,0.07580688640416611
$\text{IDP}_{50}$,21.392785571142284,0.07551886795243945
$\text{IDP}_{50}$,21.442885771543086,0.07524280409285211
$\text{IDP}_{50}$,21.492985971943888,0.07497819864590838
$\text{IDP}_{50}$,21.54308617234469,0.07472457602523264
$\text{IDP}_{50}$,21.593186372745492,0.07448148038287172
$\text{IDP}_{50}$,21.643286573146295,0.07424847479035179
$\text{IDP}_{50}$,21.693386773547093,0.07402514045350017
$\text{IDP}_{50}$,21.743486973947896,0.07381107595961112
$\text{IDP}_{50}$,21.793587174348698,0.0736058965564439
$\text{IDP}_{50}$,21.8436873747495,0.07340923346055206
$\text{IDP}_{50}$,21.893787575150302,0.07322073319465972
$\text{IDP}_{50}$,21.943887775551104,0.07304005695237947
$\text{IDP}_{50}$,21.993987975951903,0.07286687998941943
$\text{IDP}_{50}$,22.044088176352705,0.0727008910398581
$\text{IDP}_{50}$,22.094188376753507,0.07254179175686204
$\text{IDP}_{50}$,22.14428857715431,0.07238929617659551
$\text{IDP}_{50}$,22.194388777555112,0.07224313020395812
$\text{IDP}_{50}$,22.244488977955914,0.07210303112043448
$\text{IDP}_{50}$,22.294589178356713,0.07196874711149803
$\text{IDP}_{50}$,22.344689378757515,0.07184003681447848
$\text{IDP}_{50}$,22.394789579158317,0.07171666888450545
$\text{IDP}_{50}$,22.44488977955912,0.07159842157875573
$\text{IDP}_{50}$,22.49498997995992,0.07148508235792406
$\text{IDP}_{50}$,22.545090180360724,0.07137644750451955
$\text{IDP}_{50}$,22.595190380761522,0.07127232175616882
$\text{IDP}_{50}$,22.645290581162325,0.07117251795534685
$\text{IDP}_{50}$,22.695390781563127,0.071076856712466
$\text{IDP}_{50}$,22.74549098196393,0.07098516608374439
